scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,379,4,18,4,22,0,18,0
FCFS,87,64,36,64,100,0,36,0
FCFS,260,98,85,100,185,2,87,2
FCFS,336,154,12,185,197,31,43,31
FCFS,65,161,7,197,204,36,43,36
FCFS,30,189,28,204,232,15,43,15
FCFS,315,190,67,232,299,42,109,42
FCFS,203,197,59,299,358,102,161,102
FCFS,195,202,96,358,454,156,252,156
FCFS,121,206,44,454,498,248,292,248
FCFS,290,225,56,498,554,273,329,273
FCFS,235,262,4,554,558,292,296,292
FCFS,309,301,16,558,574,257,273,257
FCFS,97,391,19,574,593,183,202,183
FCFS,486,412,23,593,616,181,204,181
FCFS,477,417,11,616,627,199,210,199
FCFS,7,466,12,627,639,161,173,161
FCFS,116,502,56,639,695,137,193,137
FCFS,410,512,6,695,701,183,189,183
FCFS,346,537,26,701,727,164,190,164
FCFS,413,559,64,727,791,168,232,168
FCFS,326,569,5,791,796,222,227,222
FCFS,367,574,28,796,824,222,250,222
FCFS,419,580,33,824,857,244,277,244
FCFS,310,606,8,857,865,251,259,251
FCFS,392,635,44,865,909,230,274,230
FCFS,212,659,55,909,964,250,305,250
FCFS,165,663,28,964,992,301,329,301
FCFS,180,698,46,992,1038,294,340,294
FCFS,312,699,4,1038,1042,339,343,339
FCFS,489,728,2,1042,1044,314,316,314
FCFS,12,769,99,1044,1143,275,374,275
FCFS,52,775,14,1143,1157,368,382,368
FCFS,338,784,46,1157,1203,373,419,373
FCFS,482,825,6,1203,1209,378,384,378
FCFS,397,830,25,1209,1234,379,404,379
FCFS,453,851,66,1234,1300,383,449,383
FCFS,364,853,86,1300,1386,447,533,447
FCFS,182,854,6,1386,1392,532,538,532
FCFS,2,860,24,1392,1416,532,556,532
FCFS,128,863,80,1416,1496,553,633,553
FCFS,383,876,64,1496,1560,620,684,620
FCFS,77,878,38,1560,1598,682,720,682
FCFS,266,956,64,1598,1662,642,706,642
FCFS,316,980,96,1662,1758,682,778,682
FCFS,67,995,13,1758,1771,763,776,763
FCFS,70,1016,9,1771,1780,755,764,755
FCFS,59,1021,18,1780,1798,759,777,759
FCFS,114,1028,63,1798,1861,770,833,770
FCFS,283,1045,30,1861,1891,816,846,816
FCFS,141,1059,31,1891,1922,832,863,832
FCFS,306,1060,80,1922,2002,862,942,862
FCFS,466,1066,84,2002,2086,936,1020,936
FCFS,304,1069,23,2086,2109,1017,1040,1017
FCFS,409,1081,41,2109,2150,1028,1069,1028
FCFS,496,1122,73,2150,2223,1028,1101,1028
FCFS,368,1148,87,2223,2310,1075,1162,1075
FCFS,404,1150,34,2310,2344,1160,1194,1160
FCFS,248,1154,50,2344,2394,1190,1240,1190
FCFS,18,1184,86,2394,2480,1210,1296,1210
FCFS,319,1184,93,2480,2573,1296,1389,1296
FCFS,276,1218,63,2573,2636,1355,1418,1355
FCFS,36,1267,69,2636,2705,1369,1438,1369
FCFS,174,1291,33,2705,2738,1414,1447,1414
FCFS,155,1306,24,2738,2762,1432,1456,1432
FCFS,337,1409,90,2762,2852,1353,1443,1353
FCFS,126,1484,47,2852,2899,1368,1415,1368
FCFS,168,1495,100,2899,2999,1404,1504,1404
FCFS,37,1528,99,2999,3098,1471,1570,1471
FCFS,498,1571,9,3098,3107,1527,1536,1527
FCFS,55,1585,35,3107,3142,1522,1557,1522
FCFS,178,1636,29,3142,3171,1506,1535,1506
FCFS,253,1648,94,3171,3265,1523,1617,1523
FCFS,151,1663,96,3265,3361,1602,1698,1602
FCFS,408,1664,42,3361,3403,1697,1739,1697
FCFS,138,1678,49,3403,3452,1725,1774,1725
FCFS,424,1679,70,3452,3522,1773,1843,1773
FCFS,11,1685,89,3522,3611,1837,1926,1837
FCFS,333,1686,70,3611,3681,1925,1995,1925
FCFS,454,1687,79,3681,3760,1994,2073,1994
FCFS,285,1693,81,3760,3841,2067,2148,2067
FCFS,393,1693,25,3841,3866,2148,2173,2148
FCFS,189,1707,56,3866,3922,2159,2215,2159
FCFS,220,1734,53,3922,3975,2188,2241,2188
FCFS,134,1757,20,3975,3995,2218,2238,2218
FCFS,229,1802,78,3995,4073,2193,2271,2193
FCFS,323,1816,51,4073,4124,2257,2308,2257
FCFS,348,1841,86,4124,4210,2283,2369,2283
FCFS,221,1843,23,4210,4233,2367,2390,2367
FCFS,172,1853,17,4233,4250,2380,2397,2380
FCFS,328,1895,92,4250,4342,2355,2447,2355
FCFS,34,1899,83,4342,4425,2443,2526,2443
FCFS,205,1930,49,4425,4474,2495,2544,2495
