scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,1696,1,38,1,39,0,38,0
FCFS,1599,1,52,39,91,38,90,38
FCFS,5869,1,32,91,123,90,122,90
FCFS,8432,2,4,123,127,121,125,121
FCFS,4007,2,65,127,192,125,190,125
FCFS,379,4,6,192,198,188,194,188
FCFS,6252,4,67,198,265,194,261,194
FCFS,863,5,19,265,284,260,279,260
FCFS,2908,6,46,284,330,278,324,278
FCFS,9782,7,58,330,388,323,381,323
FCFS,2547,7,13,388,401,381,394,381
FCFS,657,9,17,401,418,392,409,392
FCFS,891,9,72,418,490,409,481,409
FCFS,1918,9,28,490,518,481,509,481
FCFS,8657,10,79,518,597,508,587,508
FCFS,4942,11,65,597,662,586,651,586
FCFS,1860,11,24,662,686,651,675,651
FCFS,9848,11,92,686,778,675,767,675
FCFS,7329,12,72,778,850,766,838,766
FCFS,8573,12,13,850,863,838,851,838
FCFS,1702,13,15,863,878,850,865,850
FCFS,2175,16,33,878,911,862,895,862
FCFS,4829,16,99,911,1010,895,994,895
FCFS,6144,18,22,1010,1032,992,1014,992
FCFS,3675,18,60,1032,1092,1014,1074,1014
FCFS,3929,18,1,1092,1093,1074,1075,1074
FCFS,1635,21,83,1093,1176,1072,1155,1072
FCFS,7748,21,91,1176,1267,1155,1246,1155
FCFS,8079,22,36,1267,1303,1245,1281,1245
FCFS,2299,22,6,1303,1309,1281,1287,1281
FCFS,3092,24,35,1309,1344,1285,1320,1285
FCFS,9852,25,40,1344,1384,1319,1359,1319
FCFS,3343,25,49,1384,1433,1359,1408,1359
FCFS,5889,26,68,1433,1501,1407,1475,1407
FCFS,7247,28,63,1501,1564,1473,1536,1473
FCFS,7968,28,80,1564,1644,1536,1616,1536
FCFS,8535,32,7,1644,1651,1612,1619,1612
FCFS,8889,37,62,1651,1713,1614,1676,1614
FCFS,2268,38,86,1713,1799,1675,1761,1675
FCFS,1511,38,10,1799,1809,1761,1771,1761
FCFS,2716,40,85,1809,1894,1769,1854,1769
FCFS,4869,44,20,1894,1914,1850,1870,1850
FCFS,8925,45,49,1914,1963,1869,1918,1869
FCFS,6823,48,73,1963,2036,1915,1988,1915
FCFS,3672,49,18,2036,2054,1987,2005,1987
FCFS,4366,52,36,2054,2090,2002,2038,2002
FCFS,4058,53,86,2090,2176,2037,2123,2037
FCFS,1103,54,18,2176,2194,2122,2140,2122
FCFS,8183,55,40,2194,2234,2139,2179,2139
FCFS,795,55,66,2234,2300,2179,2245,2179
FCFS,8066,56,90,2300,2390,2244,2334,2244
FCFS,7486,58,15,2390,2405,2332,2347,2332
FCFS,1237,60,64,2405,2469,2345,2409,2345
FCFS,3870,60,77,2469,2546,2409,2486,2409
FCFS,5850,60,55,2546,2601,2486,2541,2486
FCFS,3839,62,1,2601,2602,2539,2540,2539
FCFS,87,64,84,2602,2686,2538,2622,2538
FCFS,7718,64,34,2686,2720,2622,2656,2622
FCFS,9947,65,62,2720,2782,2655,2717,2655
FCFS,5545,66,4,2782,2786,2716,2720,2716
FCFS,9144,66,21,2786,2807,2720,2741,2720
FCFS,6904,66,4,2807,2811,2741,2745,2741
FCFS,6053,67,26,2811,2837,2744,2770,2744
FCFS,4147,67,34,2837,2871,2770,2804,2770
FCFS,6188,69,82,2871,2953,2802,2884,2802
FCFS,8995,71,42,2953,2995,2882,2924,2882
FCFS,4646,71,29,2995,3024,2924,2953,2924
FCFS,1969,72,57,3024,3081,2952,3009,2952
FCFS,9923,73,82,3081,3163,3008,3090,3008
FCFS,7047,74,75,3163,3238,3089,3164,3089
FCFS,1174,74,13,3238,3251,3164,3177,3164
FCFS,7281,75,97,3251,3348,3176,3273,3176
FCFS,4815,75,78,3348,3426,3273,3351,3273
